inspection_id,timestamp,structure_type,crack_count,max_width_mm,total_area_pct,estimated_depth_mm,health_score,risk_level,latitude,longitude,recommendation
INSP-001,2026-04-01 09:12:44,Bridge,12,3.42,8.4,12.5,24.5,Critical,18.5204,73.8567,"URGENT: Structural integrity compromised. Restrict heavy load and inspect joints."
INSP-002,2026-04-01 10:45:12,Building,2,0.45,0.2,1.2,88.2,Safe,18.5521,73.9123,"Maintain regular inspection schedule. No immediate repair needed."
INSP-003,2026-04-01 13:22:05,Road,45,12.10,15.6,35.0,18.4,Critical,18.6341,73.7432,"Major base-layer failure detected. Full depth reclamation required."
INSP-004,2026-04-02 08:30:57,Building,5,1.20,2.1,4.5,62.1,Medium,18.5201,73.8504,"Apply polymer cement sealant within 90 days to prevent water seepage."
INSP-005,2026-04-02 11:15:33,Bridge,1,0.25,0.1,0.8,92.5,Safe,18.5144,73.8122,"Standard hairline fracture. Monitor growth in 6 months."
INSP-006,2026-04-03 14:05:22,Building,18,5.60,11.2,18.4,32.4,High,18.5204,73.8567,"Alligator cracking indicates structural shifting. Deep foundation check required."
INSP-007,2026-04-03 15:40:11,Road,8,2.10,3.5,6.5,58.7,Medium,18.5901,73.7501,"Pothole formation likely. Seal coating and overlay recommended."
INSP-008,2026-04-04 09:00:00,Bridge,22,8.90,14.5,22.0,15.2,Critical,18.5152,73.8432,"SEVERE: Beam reinforcement exposure risk. Immediate repair mandatory."
INSP-009,2026-04-04 10:20:45,Building,3,0.85,0.5,2.1,78.4,Low,18.5501,73.9211,"Surface cracks only. Patch with aesthetic mortar if needed."
INSP-010,2026-04-04 12:45:00,Road,12,4.50,6.7,12.4,41.2,High,18.6300,73.7400,"Longitudinal failure along pavement edge. Basal stabilized repair needed."
INSP-011,2026-04-05 14:15:22,Bridge,3,1.10,1.2,2.5,74.2,Low,18.5144,73.8122,"Minor surface spalling. Clean and seal within 180 days."
INSP-012,2026-04-05 16:30:11,Building,7,2.80,4.2,7.4,52.5,Medium,18.5204,73.8567,"Settlement cracks detected. Monitor wall verticality monthly."
INSP-013,2026-04-06 09:45:33,Road,32,9.40,12.6,28.7,21.4,Critical,18.6341,73.7432,"Deep asphalt stripping. Urgent resurfacing to prevent accidents."
INSP-014,2026-04-06 11:55:00,Building,1,0.15,0.05,0.4,98.2,Safe,18.5521,73.9123,"Excellent structural integrity. Continue bi-annual maintenance."
INSP-015,2026-04-06 14:22:15,Bridge,15,4.90,7.8,14.2,35.7,High,18.5201,73.8504,"Shear stress cracking near support. Limit load and repair immediately."
INSP-016,2026-04-07 08:12:44,Building,6,1.40,2.5,5.1,60.4,Medium,18.5204,73.8567,"Interior plaster cracks. No structural danger but requires filler."
INSP-017,2026-04-07 10:45:12,Road,4,1.10,0.8,1.9,82.4,Low,18.5521,73.9123,"Initial oxidation detected. Seal coat for life extension."
INSP-018,2026-04-07 13:22:05,Bridge,28,15.42,22.4,45.5,5.4,Critical,18.6341,73.7432,"EMERGENCY: Deck joint failure. Close bridge to traffic immediately."
INSP-019,2026-04-08 08:30:57,Building,2,0.30,0.1,0.6,90.2,Safe,18.5144,73.8122,"Pristine condition. No active fractures found."
INSP-020,2026-04-08 11:15:33,Road,14,3.20,5.1,9.4,48.1,High,18.5204,73.8567,"Multiple fatigue cracks. Partial depth repair within 30 days."
